Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled
DV Position,%,x / 655.36,%01.0f,0xd0011db2,2,FALSE,0,100,-10,500,0,TRUE
Engine Speed,rpm,x,%01.0f,0xd0012400,2,FALSE,0,7000,-1,10000,0,TRUE
Exh Flow Fac,,x / 16384,%01.2f,0xd0011e04,2,FALSE,0,2,-1,10,0,TRUE
Int Flow Fac,,x / 16384,%01.2f,0xd0011e08,2,FALSE,0,2,-1000,1000,0,TRUE
Pedal Pos,%,x / 10.24,%01.1f,0xd0012028,2,FALSE,0,100,-1000,1000,0,TRUE
PUT SP,kpa,x / 120.60176665,%01.1f,0xd0011eee,2,FALSE,0,320,-1,350,0,TRUE
PUT,kpa,x / 1000,%01.1f,0xd00098fc,4,FALSE,0,320,-1,350,0,TRUE
Valve Lift Pos,,x,%01.0f,0xd0019b75,1,FALSE,0,1,-1000,1000,0,TRUE
WG Pos Final,%,x / 655.3599999999997,%01.1f,0xd0011e10,2,FALSE,0,100,-1000,1000,0,TRUE
WG Pos Base,%,x / 655.3599999999997,%01.1f,0xd0015c2c,2,FALSE,0,100,-1000,1000,0,TRUE
PUT I Inhibit,,x,%01.0f,0xd0000b76,1,FALSE,0,1,-1000,1000,0,TRUE
